{'Time';'CpX';'CpY';'BottomLeft';'BottomRight';'TopLeft';'TopRight';'Weight';'RAWBottomLeft';'RAWBottonRight';'RAWTopLeft';'RAWTopRight'}
0.003     	     0.273	    -1.608	 13549.774	 14666.484	 10994.914	 10505.306	  5073.110	      7516	     17799	     14783	      3583
0.200     	     1.142	    -3.246	 14333.774	 16881.283	  8897.714	  8937.306	  5005.110	      7596	     18025	     14569	      3423
0.400     	     1.503	    -1.610	 12050.374	 15754.284	 10740.114	 10436.706	  4998.110	      7363	     17910	     14757	      3576
0.600     	     1.610	    -1.379	 11609.374	 15675.884	 11024.314	 10593.506	  4990.110	      7318	     17902	     14786	      3592
0.800     	     1.977	    -1.118	 11354.574	 15470.084	 10926.314	 11289.306	  5004.110	      7292	     17881	     14776	      3663
1.000     	     2.171	    -1.006	 11236.974	 15362.284	 10828.314	 11622.506	  5005.110	      7280	     17870	     14766	      3697
1.200     	     2.173	    -0.822	 11168.374	 15029.084	 10877.314	 11936.106	  5001.110	      7273	     17836	     14771	      3729
1.400     	     2.101	    -0.829	 11168.374	 15029.084	 10945.914	 11838.106	  4998.110	      7273	     17836	     14778	      3719
1.600     	     2.272	    -0.776	 10717.574	 15391.684	 11220.314	 11691.106	  5002.110	      7227	     17873	     14806	      3704
1.801     	     1.894	    -0.779	 11011.574	 15185.884	 11426.114	 11553.906	  5018.110	      7257	     17852	     14827	      3690
2.001     	     1.525	    -1.136	 11687.774	 15215.284	 11141.914	 11073.706	  5012.110	      7326	     17855	     14798	      3641
2.201     	     1.124	    -1.553	 12461.974	 15274.084	 10798.914	 10534.706	  5007.110	      7405	     17861	     14763	      3586
2.401     	     1.007	    -1.886	 12765.774	 15793.484	 10740.114	 10005.506	  5031.110	      7436	     17914	     14757	      3532
2.600     	     1.003	    -1.767	 12677.574	 15381.884	 10622.514	 10181.906	  4986.110	      7427	     17872	     14745	      3550
2.801     	     0.396	    -1.500	 13147.974	 14578.284	 11024.314	 10495.506	  5025.110	      7475	     17790	     14786	      3582
3.000     	     0.329	    -1.411	 13069.574	 14352.884	 11073.314	 10534.706	  5003.110	      7467	     17767	     14791	      3586
3.201     	     0.307	    -1.383	 12873.574	 14539.084	 11337.914	 10368.106	  5012.110	      7447	     17786	     14818	      3569
3.400     	     0.342	    -1.334	 12755.974	 14480.284	 11347.714	 10397.506	  4998.110	      7435	     17780	     14819	      3572
3.600     	     0.497	    -1.156	 12510.974	 14392.084	 11445.714	 10691.506	  5004.110	      7410	     17771	     14829	      3602
3.801     	     0.686	    -0.945	 12216.974	 14303.884	 11573.114	 11044.306	  5014.110	      7380	     17762	     14842	      3638
4.001     	     0.830	    -0.507	 11677.974	 13902.084	 11916.114	 11573.506	  5007.110	      7325	     17721	     14877	      3692
4.201     	     0.848	    -0.455	 11530.974	 13921.684	 12023.914	 11553.906	  5003.110	      7310	     17723	     14888	      3690
4.400     	     0.822	    -0.791	 11854.374	 14431.284	 11857.314	 11152.106	  5030.110	      7343	     17775	     14871	      3649
4.601     	     0.908	    -1.074	 12197.374	 14931.084	 11641.714	 10995.306	  5078.110	      7378	     17826	     14849	      3633
4.800     	     0.919	    -1.388	 13128.374	 15744.484	 11631.914	 11210.906	  5277.110	      7473	     17909	     14848	      3655
5.001     	     1.094	    -0.825	 11099.774	 13794.284	 11004.714	 10662.106	  4751.110	      7266	     17710	     14784	      3599
5.200     	     0.392	    -0.985	 12207.174	 14166.684	 11710.314	 10632.706	  4971.110	      7379	     17748	     14856	      3596
5.400     	     0.264	    -0.671	 12177.774	 13725.684	 12043.514	 11093.306	  5004.110	      7376	     17703	     14890	      3643
